Product_Category,SoldBy,Publisher,Title,Author,KindleeBooks SalesRank,SalePrice,TotalReviews,AverageRating,Preorder,DatePublished,Format,IndiePublisher,SmallMediumPublisher,AmazonPublsher,BigFivePublisher,UncategorizedSingle-AuthorPublisher,Pages,DailyUnitsSold,DailyGrossSales ,DailyAmazonRevenue,DailyPublisherRevenue,DailyAuthorRevenue,Category
Print,"Amazon Digital Services,  Inc.",publisher00002222,title00595921,author00152579,27992,9.94,113,4.3,0,8/1/2011,Paperback,0,1,0,0,0,40,5,$47.47 ,$23.73 ,$19.94 ,$3.80 ,0
Print,"Amazon Digital Services,  Inc.",publisher00007739,title00732794,author00150901,27994,9.94,158,4.4,0,11/8/2012,Paperback,0,1,0,0,0,64,5,$47.47 ,$23.73 ,$19.94 ,$3.80 ,0
Print,Random House LLC,publisher00000284,title00680617,author00095594,27995,10.84,277,4.4,0,2/1/1995,Paperback,0,0,0,1,0,384,5,$51.76 ,$13.56 ,$32.09 ,$6.11 ,0
Print,HarperCollins Publishers,publisher00000754,title00665515,author00194160,27996,6.99,199,4.7,0,4/8/2008,Paperback,0,0,0,1,0,352,5,$33.38 ,$16.69 ,$14.02 ,$2.67 ,0
Print,"Amazon Digital Services,  Inc.",publisher00003952,title00617064,author00097684,28000,15.41,137,4.3,0,2/21/2011,Hardcover,0,1,0,0,0,352,5,$73.57 ,$6.85 ,$46.71 ,$20.02 ,0
Print,Penguin Group (USA) LLC,publisher00002165,title00617232,author00103396,28001,9.18,253,3.9,0,5/5/2015,Paperback,0,0,0,1,0,464,5,$43.83 ,$19.98 ,$20.03 ,$3.82 ,0
Print,"Amazon Digital Services,  Inc.",publisher00003165,title00629525,author00170757,28002,13.89,56,4.7,0,9/15/2014,Paperback,0,1,0,0,0,144,5,$66.31 ,$18.62 ,$40.06 ,$7.63 ,0
Print,Random House LLC,publisher00000400,title00676153,author00099109,28004,13.49,148,4.5,0,7/28/2005,Hardcover,0,0,0,1,0,192,5,$64.40 ,$28.62 ,$25.05 ,$10.73 ,0
Print,"Amazon Digital Services,  Inc.",publisher00075061,title00622405,author00104320,28005,9.94,214,3.9,0,2/6/2014,Paperback,1,0,0,0,0,84,5,$47.45 ,$29.24 ,$0.00 ,$18.21 ,0
Print,Macmillan,publisher00000130,title00646133,author00102371,28007,11.24,121,4.7,0,3/31/2015,Paperback,0,0,0,1,0,368,5,$53.65 ,$15.49 ,$32.06 ,$6.11 ,0
